"","date.local","location","value","unit","country"
"1","2016-01-31T18:00:00+01:00","Rotterdam-Oost Sidelinge A13",6.8,"µg/m³","NL"
"2","2016-01-31T18:00:00+01:00","De Zilk-Vogelaarsdreef",4.10873333333333,"µg/m³","NL"
"3","2022-10-06T09:00:00+08:00","Beijing US Embassy",8,"µg/m³","CN"
"4","2022-10-06T03:00:00+02:00","Wekerom-Riemterdijk",4.37134,"µg/m³","NL"
"5","2022-10-06T03:00:00+02:00","Groningen-Europaweg",4.633,"µg/m³","NL"
"6","2022-10-05T22:00:00-03:00","Valparaiso",19,"µg/m³","CL"
"7","2022-10-06T03:00:00+02:00","Rotterdam-Oost Sidelinge A13",-999,"µg/m³","NL"
"8","2022-10-05T22:00:00-03:00","Punteras",18,"µg/m³","CL"
"9","2022-10-06T03:00:00+02:00","De Zilk-Vogelaarsdreef",6.40484,"µg/m³","NL"
"10","2022-10-06T09:00:00+08:00","Shanghai",8,"µg/m³","CN"
"11","2022-10-06T09:00:00+08:00","Guangzhou",13,"µg/m³","CN"
"12","2022-10-06T02:00:00+01:00","London Bloomsbury",5,"µg/m³","GB"
"13","2022-10-06T02:00:00+01:00","Camden Kerbside",6,"µg/m³","GB"
"14","2022-10-06T02:00:00+01:00","Westminster - Marylebone Road",8,"µg/m³","GB"
"15","2022-10-06T02:00:00+01:00","London N. Kensington",4,"µg/m³","GB"
"16","2022-10-06T02:00:00+01:00","Bexley - Slade Green",5.5,"µg/m³","GB"
"17","2022-10-06T02:00:00+01:00","London Teddington Bushy Park",6,"µg/m³","GB"
"18","2022-10-06T02:00:00+01:00","London Harlington",3,"µg/m³","GB"
"19","2022-10-05T19:00:00-06:00","Twin Falls PM25",8,"µg/m³","US"
"20","2022-10-05T21:00:00-04:00","South Bend-Shields D",11.8,"µg/m³","US"
"21","2022-10-05T21:00:00-04:00","Larwill",5,"µg/m³","US"
"22","2022-10-05T21:00:00-04:00","Elkhart-Prairie St.",11,"µg/m³","US"
"23","2022-10-05T21:00:00-04:00","Fishers",13,"µg/m³","US"
"24","2022-10-05T18:00:00-07:00","Spokane-E Broadway A",11,"µg/m³","US"
"25","2022-10-05T18:00:00-07:00","Enterprise - US Fore",20,"µg/m³","US"
"26","2022-10-05T20:00:00-05:00","Liberty",4.5,"µg/m³","US"
"27","2022-10-05T20:00:00-05:00","Troost",9,"µg/m³","US"
"28","2022-10-05T20:00:00-05:00","St. Joseph",5,"µg/m³","US"
"29","2022-10-05T22:00:00-03:00","Los Ángeles Oriente",19,"µg/m³","CL"
